,time,ant_name1,ant_name2,gain1,gain2
0,6.101388931274414,KC,KT,(0.9905104637145996+0.08698464184999466j),(1.016493558883667+0.3003196716308594j)
1,6.101388931274414,KC,KU,(0.9905104637145996+0.08698464184999466j),(0.9810516834259033+0.0726551041007042j)
2,6.101388931274414,KC,KY,(0.9905104637145996+0.08698464184999466j),(0.9853995442390442-0.08084699511528015j)
3,6.101388931274414,KT,KU,(1.016493558883667-0.3003196716308594j),(0.9810516834259033+0.0726551041007042j)
4,6.101388931274414,KT,KY,(1.016493558883667-0.3003196716308594j),(0.9853995442390442-0.08084699511528015j)
5,6.101388931274414,KU,KY,(0.9810516834259033-0.0726551041007042j),(0.9853995442390442-0.08084699511528015j)
6,6.118055513926914,KC,KT,(0.9905104637145996+0.08698464184999466j),(1.016493558883667+0.3003196716308594j)
7,6.118055513926914,KC,KU,(0.9905104637145996+0.08698464184999466j),(0.9810516834259033+0.0726551041007042j)
8,6.118055513926914,KC,KY,(0.9905104637145996+0.08698464184999466j),(0.9853995442390442-0.08084699511528015j)
9,6.118055513926914,KT,KU,(1.016493558883667-0.3003196716308594j),(0.9810516834259033+0.0726551041007042j)
10,6.118055513926914,KT,KY,(1.016493558883667-0.3003196716308594j),(0.9853995442390442-0.08084699511528015j)
11,6.118055513926914,KU,KY,(0.9810516834259033-0.0726551041007042j),(0.9853995442390442-0.08084699511528015j)
12,6.13611114025116,KC,KT,(0.9904221296310425+0.08733223378658295j),(1.0171712636947632+0.3009266257286072j)
13,6.13611114025116,KC,KU,(0.9904221296310425+0.08733223378658295j),(0.9815024733543396+0.072037473320961j)
14,6.13611114025116,KC,KY,(0.9904221296310425+0.08733223378658295j),(0.9846271276473999-0.08038744330406189j)
15,6.13611114025116,KT,KU,(1.0171712636947632-0.3009266257286072j),(0.9815024733543396+0.072037473320961j)
16,6.13611114025116,KT,KY,(1.0171712636947632-0.3009266257286072j),(0.9846271276473999-0.08038744330406189j)
17,6.13611114025116,KU,KY,(0.9815024733543396-0.072037473320961j),(0.9846271276473999-0.08038744330406189j)
18,6.152777791023254,KC,KT,(0.990451455116272+0.08805536478757858j),(1.0169047117233276+0.3012141287326813j)
19,6.152777791023254,KC,KU,(0.990451455116272+0.08805536478757858j),(0.9818093180656433+0.0705951377749443j)
20,6.152777791023254,KC,KY,(0.990451455116272+0.08805536478757858j),(0.9848378300666809-0.07961001247167587j)
21,6.152777791023254,KT,KU,(1.0169047117233276-0.3012141287326813j),(0.9818093180656433+0.0705951377749443j)
22,6.152777791023254,KT,KY,(1.0169047117233276-0.3012141287326813j),(0.9848378300666809-0.07961001247167587j)
23,6.152777791023254,KU,KY,(0.9818093180656433-0.0705951377749443j),(0.9848378300666809-0.07961001247167587j)
24,6.166666626930237,KC,KT,(0.9913001656532288+0.08839336037635803j),(1.016305923461914+0.3012195825576782j)
25,6.166666626930237,KC,KU,(0.9913001656532288+0.08839336037635803j),(0.9807348251342773+0.07021626085042953j)
26,6.166666626930237,KC,KY,(0.9913001656532288+0.08839336037635803j),(0.9853343963623047-0.07949290424585342j)
27,6.166666626930237,KT,KU,(1.016305923461914-0.3012195825576782j),(0.9807348251342773+0.07021626085042953j)
28,6.166666626930237,KT,KY,(1.016305923461914-0.3012195825576782j),(0.9853343963623047-0.07949290424585342j)
29,6.166666626930237,KU,KY,(0.9807348251342773-0.07021626085042953j),(0.9853343963623047-0.07949290424585342j)
30,6.651388917650495,KC,KT,(0.9899564385414124+0.098699189722538j),(1.013359785079956+0.30856946110725403j)
31,6.651388917650495,KC,KU,(0.9899564385414124+0.098699189722538j),(0.9839355945587158+0.04764213785529137j)
32,6.651388917650495,KC,KY,(0.9899564385414124+0.098699189722538j),(0.9849674701690674-0.06816226243972778j)
33,6.651388917650495,KT,KU,(1.013359785079956-0.30856946110725403j),(0.9839355945587158+0.04764213785529137j)
34,6.651388917650495,KT,KY,(1.013359785079956-0.30856946110725403j),(0.9849674701690674-0.06816226243972778j)
35,6.651388917650495,KU,KY,(0.9839355945587158-0.04764213785529137j),(0.9849674701690674-0.06816226243972778j)
36,6.668055602482387,KC,KT,(0.9917474389076233+0.09948860853910446j),(1.0132105350494385+0.3083832859992981j)
37,6.668055602482387,KC,KU,(0.9917474389076233+0.09948860853910446j),(0.9819438457489014+0.04631781950592995j)
38,6.668055602482387,KC,KY,(0.9917474389076233+0.09948860853910446j),(0.9858506917953491-0.06814254075288773j)
39,6.668055602482387,KT,KU,(1.0132105350494385-0.3083832859992981j),(0.9819438457489014+0.04631781950592995j)
40,6.668055602482387,KT,KY,(1.0132105350494385-0.3083832859992981j),(0.9858506917953491-0.06814254075288773j)
41,6.668055602482387,KU,KY,(0.9819438457489014-0.04631781950592995j),(0.9858506917953491-0.06814254075288773j)
42,6.686111092567444,KC,KT,(0.9916780591011047+0.09937144815921783j),(1.0150532722473145+0.3094462752342224j)
43,6.686111092567444,KC,KU,(0.9916780591011047+0.09937144815921783j),(0.9819437265396118+0.045863907784223557j)
44,6.686111092567444,KC,KY,(0.9916780591011047+0.09937144815921783j),(0.9853852391242981-0.0673590898513794j)
45,6.686111092567444,KT,KU,(1.0150532722473145-0.3094462752342224j),(0.9819437265396118+0.045863907784223557j)
46,6.686111092567444,KT,KY,(1.0150532722473145-0.3094462752342224j),(0.9853852391242981-0.0673590898513794j)
47,6.686111092567444,KU,KY,(0.9819437265396118-0.045863907784223557j),(0.9853852391242981-0.0673590898513794j)
48,6.702777862548828,KC,KT,(0.9910408854484558+0.09998001903295517j),(1.0138367414474487+0.30926239490509033j)
49,6.702777862548828,KC,KU,(0.9910408854484558+0.09998001903295517j),(0.981913685798645+0.04459269344806671j)
50,6.702777862548828,KC,KY,(0.9910408854484558+0.09998001903295517j),(0.9852199554443359-0.0668438971042633j)
51,6.702777862548828,KT,KU,(1.0138367414474487-0.30926239490509033j),(0.981913685798645+0.04459269344806671j)
52,6.702777862548828,KT,KY,(1.0138367414474487-0.30926239490509033j),(0.9852199554443359-0.0668438971042633j)
53,6.702777862548828,KU,KY,(0.981913685798645-0.04459269344806671j),(0.9852199554443359-0.0668438971042633j)
54,6.7166666984558105,KC,KT,(0.9910408854484558+0.09998001903295517j),(1.0138367414474487+0.30926239490509033j)
55,6.7166666984558105,KC,KU,(0.9910408854484558+0.09998001903295517j),(0.981913685798645+0.04459269344806671j)
56,6.7166666984558105,KC,KY,(0.9910408854484558+0.09998001903295517j),(0.9852199554443359-0.0668438971042633j)
57,6.7166666984558105,KT,KU,(1.0138367414474487-0.30926239490509033j),(0.981913685798645+0.04459269344806671j)
58,6.7166666984558105,KT,KY,(1.0138367414474487-0.30926239490509033j),(0.9852199554443359-0.0668438971042633j)
59,6.7166666984558105,KU,KY,(0.981913685798645-0.04459269344806671j),(0.9852199554443359-0.0668438971042633j)
60,7.201388904026577,KC,KT,(0.9917258024215698+0.10753900557756424j),(1.010634183883667+0.31487366557121277j)
61,7.201388904026577,KC,KU,(0.9917258024215698+0.10753900557756424j),(0.9851022958755493+0.02276332676410675j)
62,7.201388904026577,KC,KY,(0.9917258024215698+0.10753900557756424j),(0.9888219237327576-0.0554911345243454j)
63,7.201388904026577,KT,KU,(1.010634183883667-0.31487366557121277j),(0.9851022958755493+0.02276332676410675j)
64,7.201388904026577,KT,KY,(1.010634183883667-0.31487366557121277j),(0.9888219237327576-0.0554911345243454j)
65,7.201388904026577,KU,KY,(0.9851022958755493-0.02276332676410675j),(0.9888219237327576-0.0554911345243454j)
66,7.219444394111633,KC,KT,(0.9919198751449585+0.10789060592651367j),(1.0110223293304443+0.3149528503417969j)
67,7.219444394111633,KC,KU,(0.9919198751449585+0.10789060592651367j),(0.9854358434677124+0.021858926862478256j)
68,7.219444394111633,KC,KY,(0.9919198751449585+0.10789060592651367j),(0.9881108999252319-0.0550498440861702j)
69,7.219444394111633,KT,KU,(1.0110223293304443-0.3149528503417969j),(0.9854358434677124+0.021858926862478256j)
70,7.219444394111633,KT,KY,(1.0110223293304443-0.3149528503417969j),(0.9881108999252319-0.0550498440861702j)
71,7.219444394111633,KU,KY,(0.9854358434677124-0.021858926862478256j),(0.9881108999252319-0.0550498440861702j)
72,7.236111164093018,KC,KT,(0.9900016784667969+0.10779640823602676j),(1.0110607147216797+0.3144650161266327j)
73,7.236111164093018,KC,KU,(0.9900016784667969+0.10779640823602676j),(0.9878746271133423+0.022915389388799667j)
74,7.236111164093018,KC,KY,(0.9900016784667969+0.10779640823602676j),(0.9881178736686707-0.055706411600112915j)
75,7.236111164093018,KT,KU,(1.0110607147216797-0.3144650161266327j),(0.9878746271133423+0.022915389388799667j)
76,7.236111164093018,KT,KY,(1.0110607147216797-0.3144650161266327j),(0.9881178736686707-0.055706411600112915j)
77,7.236111164093018,KU,KY,(0.9878746271133423-0.022915389388799667j),(0.9881178736686707-0.055706411600112915j)
78,7.252777695655823,KC,KT,(0.9870215058326721+0.10909698903560638j),(1.010859489440918+0.31554555892944336j)
79,7.252777695655823,KC,KU,(0.9870215058326721+0.10909698903560638j),(0.9918183088302612+0.019781049340963364j)
80,7.252777695655823,KC,KY,(0.9870215058326721+0.10909698903560638j),(0.988226592540741-0.054058320820331573j)
81,7.252777695655823,KT,KU,(1.010859489440918-0.31554555892944336j),(0.9918183088302612+0.019781049340963364j)
82,7.252777695655823,KT,KY,(1.010859489440918-0.31554555892944336j),(0.988226592540741-0.054058320820331573j)
83,7.252777695655823,KU,KY,(0.9918183088302612-0.019781049340963364j),(0.988226592540741-0.054058320820331573j)
84,7.268055582046509,KC,KT,(0.9864253401756287+0.10858208686113358j),(1.0101401805877686+0.31597110629081726j)
85,7.268055582046509,KC,KU,(0.9864253401756287+0.10858208686113358j),(0.9919198751449585+0.02091321535408497j)
86,7.268055582046509,KC,KY,(0.9864253401756287+0.10858208686113358j),(0.9892396926879883-0.054753627628088j)
87,7.268055582046509,KT,KU,(1.0101401805877686-0.31597110629081726j),(0.9919198751449585+0.02091321535408497j)
88,7.268055582046509,KT,KY,(1.0101401805877686-0.31597110629081726j),(0.9892396926879883-0.054753627628088j)
89,7.268055582046509,KU,KY,(0.9919198751449585-0.02091321535408497j),(0.9892396926879883-0.054753627628088j)
90,8.029166630336217,KC,KT,(0.9851513504981995+0.11610745638608932j),(1.010286808013916+0.3142877519130707j)
91,8.029166630336217,KC,KU,(0.9851513504981995+0.11610745638608932j),(0.9989689588546753-0.0051962570287287235j)
92,8.029166630336217,KC,KY,(0.9851513504981995+0.11610745638608932j),(0.9921408891677856-0.041036687791347504j)
93,8.029166630336217,KT,KU,(1.010286808013916-0.3142877519130707j),(0.9989689588546753-0.0051962570287287235j)
94,8.029166630336217,KT,KY,(1.010286808013916-0.3142877519130707j),(0.9921408891677856-0.041036687791347504j)
95,8.029166630336217,KU,KY,(0.9989689588546753+0.0051962570287287235j),(0.9921408891677856-0.041036687791347504j)
96,8.047222256660461,KC,KT,(0.9859429597854614+0.11569410562515259j),(1.0097600221633911+0.31447431445121765j)
97,8.047222256660461,KC,KU,(0.9859429597854614+0.11569410562515259j),(0.9984315633773804-0.005810737144201994j)
98,8.047222256660461,KC,KY,(0.9859429597854614+0.11569410562515259j),(0.9920573234558105-0.04084784537553787j)
99,8.047222256660461,KT,KU,(1.0097600221633911-0.31447431445121765j),(0.9984315633773804-0.005810737144201994j)
100,8.047222256660461,KT,KY,(1.0097600221633911-0.31447431445121765j),(0.9920573234558105-0.04084784537553787j)
101,8.047222256660461,KU,KY,(0.9984315633773804+0.005810737144201994j),(0.9920573234558105-0.04084784537553787j)
102,8.063888907432556,KC,KT,(0.9864175319671631+0.11546626687049866j),(1.0093340873718262+0.31452134251594543j)
103,8.063888907432556,KC,KU,(0.9864175319671631+0.11546626687049866j),(0.9980593919754028-0.006516978144645691j)
104,8.063888907432556,KC,KY,(0.9864175319671631+0.11546626687049866j),(0.9920046925544739-0.04062287136912346j)
105,8.063888907432556,KT,KU,(1.0093340873718262-0.31452134251594543j),(0.9980593919754028-0.006516978144645691j)
106,8.063888907432556,KT,KY,(1.0093340873718262-0.31452134251594543j),(0.9920046925544739-0.04062287136912346j)
