,time,ant_name1,ant_name2,gain1,gain2
0,4.284722174916949,KC,KT,(1.0005203485488892+0.10554596781730652j),(0.9897029399871826+0.18578368425369263j)
1,4.284722174916949,KC,KU,(1.0005203485488892+0.10554596781730652j),(1.0034613609313965+0.09116663038730621j)
2,4.284722174916949,KC,KY,(1.0005203485488892+0.10554596781730652j),(0.9934579730033875-0.15813952684402466j)
3,4.284722174916949,KT,KU,(0.9897029399871826-0.18578368425369263j),(1.0034613609313965+0.09116663038730621j)
4,4.284722174916949,KT,KY,(0.9897029399871826-0.18578368425369263j),(0.9934579730033875-0.15813952684402466j)
5,4.284722174916949,KU,KY,(1.0034613609313965-0.09116663038730621j),(0.9934579730033875-0.15813952684402466j)
6,4.302777826786041,KC,KT,(1.0003918409347534+0.10618174076080322j),(0.9896414875984192+0.18648135662078857j)
7,4.302777826786041,KC,KU,(1.0003918409347534+0.10618174076080322j),(1.0031929016113281+0.09053577482700348j)
8,4.302777826786041,KC,KY,(1.0003918409347534+0.10618174076080322j),(0.9936022162437439-0.15791630744934082j)
9,4.302777826786041,KT,KU,(0.9896414875984192-0.18648135662078857j),(1.0031929016113281+0.09053577482700348j)
10,4.302777826786041,KT,KY,(0.9896414875984192-0.18648135662078857j),(0.9936022162437439-0.15791630744934082j)
11,4.302777826786041,KU,KY,(1.0031929016113281-0.09053577482700348j),(0.9936022162437439-0.15791630744934082j)
12,4.318055544580732,KC,KT,(1.0003684759140015+0.1062074527144432j),(0.989636242389679+0.18740592896938324j)
13,4.318055544580732,KC,KU,(1.0003684759140015+0.1062074527144432j),(1.0034524202346802+0.09022422134876251j)
14,4.318055544580732,KC,KY,(1.0003684759140015+0.1062074527144432j),(0.9934864044189453-0.15797968208789825j)
15,4.318055544580732,KT,KU,(0.989636242389679-0.18740592896938324j),(1.0034524202346802+0.09022422134876251j)
16,4.318055544580732,KT,KY,(0.989636242389679-0.18740592896938324j),(0.9934864044189453-0.15797968208789825j)
17,4.318055544580732,KU,KY,(1.0034524202346802-0.09022422134876251j),(0.9934864044189453-0.15797968208789825j)
18,4.336111128330231,KC,KT,(1.0003256797790527+0.10715985298156738j),(0.9892146587371826+0.1883237063884735j)
19,4.336111128330231,KC,KU,(1.0003256797790527+0.10715985298156738j),(1.003485918045044+0.08938013017177582j)
20,4.336111128330231,KC,KY,(1.0003256797790527+0.10715985298156738j),(0.993600606918335-0.15778760612010956j)
21,4.336111128330231,KT,KU,(0.9892146587371826-0.1883237063884735j),(1.003485918045044+0.08938013017177582j)
22,4.336111128330231,KT,KY,(0.9892146587371826-0.1883237063884735j),(0.993600606918335-0.15778760612010956j)
23,4.336111128330231,KU,KY,(1.003485918045044-0.08938013017177582j),(0.993600606918335-0.15778760612010956j)
24,4.350000023841858,KC,KT,(1.0003256797790527+0.10715985298156738j),(0.9892146587371826+0.1883237063884735j)
25,4.350000023841858,KC,KU,(1.0003256797790527+0.10715985298156738j),(1.003485918045044+0.08938013017177582j)
26,4.350000023841858,KC,KY,(1.0003256797790527+0.10715985298156738j),(0.993600606918335-0.15778760612010956j)
27,4.350000023841858,KT,KU,(0.9892146587371826-0.1883237063884735j),(1.003485918045044+0.08938013017177582j)
