,time,ant_name1,ant_name2,gain1,gain2
0,4.284722174916949,KC,KT,(0.9861528277397156+0.018026938661932945j),(0.9821374416351318+0.030052468180656433j)
1,4.284722174916949,KC,KU,(0.9861528277397156+0.018026938661932945j),(0.983456552028656+0.013665751554071903j)
2,4.284722174916949,KC,KY,(0.9861528277397156+0.018026938661932945j),(0.9855366349220276-0.023200305178761482j)
3,4.284722174916949,KT,KU,(0.9821374416351318-0.030052468180656433j),(0.983456552028656+0.013665751554071903j)
4,4.284722174916949,KT,KY,(0.9821374416351318-0.030052468180656433j),(0.9855366349220276-0.023200305178761482j)
5,4.284722174916949,KU,KY,(0.983456552028656-0.013665751554071903j),(0.9855366349220276-0.023200305178761482j)
6,4.302777826786041,KC,KT,(0.9863091111183167+0.017674358561635017j),(0.9820012450218201+0.030100662261247635j)
7,4.302777826786041,KC,KU,(0.9863091111183167+0.017674358561635017j),(0.9833808541297913+0.01364977192133665j)
8,4.302777826786041,KC,KY,(0.9863091111183167+0.017674358561635017j),(0.9854934811592102-0.02325879968702793j)
9,4.302777826786041,KT,KU,(0.9820012450218201-0.030100662261247635j),(0.9833808541297913+0.01364977192133665j)
10,4.302777826786041,KT,KY,(0.9820012450218201-0.030100662261247635j),(0.9854934811592102-0.02325879968702793j)
11,4.302777826786041,KU,KY,(0.9833808541297913-0.01364977192133665j),(0.9854934811592102-0.02325879968702793j)
12,4.318055544580732,KC,KT,(0.9864766597747803+0.01856098882853985j),(0.9823299646377563+0.030350461602211j)
13,4.318055544580732,KC,KU,(0.9864766597747803+0.01856098882853985j),(0.9832813739776611+0.013442885130643845j)
14,4.318055544580732,KC,KY,(0.9864766597747803+0.01856098882853985j),(0.9856603741645813-0.023130901157855988j)
15,4.318055544580732,KT,KU,(0.9823299646377563-0.030350461602211j),(0.9832813739776611+0.013442885130643845j)
16,4.318055544580732,KT,KY,(0.9823299646377563-0.030350461602211j),(0.9856603741645813-0.023130901157855988j)
17,4.318055544580732,KU,KY,(0.9832813739776611-0.013442885130643845j),(0.9856603741645813-0.023130901157855988j)
18,4.336111128330231,KC,KT,(0.9864972829818726+0.01820855773985386j),(0.9820452928543091+0.030485954135656357j)
19,4.336111128330231,KC,KU,(0.9864972829818726+0.01820855773985386j),(0.9833263754844666+0.013385902158915997j)
20,4.336111128330231,KC,KY,(0.9864972829818726+0.01820855773985386j),(0.9856888055801392-0.023140765726566315j)
21,4.336111128330231,KT,KU,(0.9820452928543091-0.030485954135656357j),(0.9833263754844666+0.013385902158915997j)
22,4.336111128330231,KT,KY,(0.9820452928543091-0.030485954135656357j),(0.9856888055801392-0.023140765726566315j)
23,4.336111128330231,KU,KY,(0.9833263754844666-0.013385902158915997j),(0.9856888055801392-0.023140765726566315j)
24,4.34980160849435,KC,KT,(0.9864972829818726+0.01820855773985386j),(0.9820452928543091+0.030485954135656357j)
25,4.34980160849435,KC,KU,(0.9864972829818726+0.01820855773985386j),(0.9833263754844666+0.013385902158915997j)
26,4.34980160849435,KC,KY,(0.9864972829818726+0.01820855773985386j),(0.9856888055801392-0.023140765726566315j)
27,4.34980160849435,KT,KU,(0.9820452928543091-0.030485954135656357j),(0.9833263754844666+0.013385902158915997j)
28,4.34980160849435,KT,KY,(0.9820452928543091-0.030485954135656357j),(0.9856888055801392-0.023140765726566315j)
29,4.34980160849435,KU,KY,(0.9833263754844666-0.013385902158915997j),(0.9856888055801392-0.023140765726566315j)
