,time,ant_name1,ant_name2,gain1,gain2
0,4.284722174916949,KC,KT,(0.9891883134841919+0.11654822528362274j),(0.9840677976608276+0.40752655267715454j)
1,4.284722174916949,KC,KU,(0.9891883134841919+0.11654822528362274j),(0.9557685256004333+0.21404749155044556j)
2,4.284722174916949,KC,KY,(0.9891883134841919+0.11654822528362274j),(0.9738543629646301-0.19894757866859436j)
3,4.284722174916949,KT,KU,(0.9840677976608276-0.40752655267715454j),(0.9557685256004333+0.21404749155044556j)
4,4.284722174916949,KT,KY,(0.9840677976608276-0.40752655267715454j),(0.9738543629646301-0.19894757866859436j)
5,4.284722174916949,KU,KY,(0.9557685256004333-0.21404749155044556j),(0.9738543629646301-0.19894757866859436j)
6,4.302777826786041,KC,KT,(0.9893670678138733+0.11708872765302658j),(0.9833416938781738+0.40872737765312195j)
7,4.302777826786041,KC,KU,(0.9893670678138733+0.11708872765302658j),(0.9553050994873047+0.21299485862255096j)
8,4.302777826786041,KC,KY,(0.9893670678138733+0.11708872765302658j),(0.9743757247924805-0.19866520166397095j)
9,4.302777826786041,KT,KU,(0.9833416938781738-0.40872737765312195j),(0.9553050994873047+0.21299485862255096j)
10,4.302777826786041,KT,KY,(0.9833416938781738-0.40872737765312195j),(0.9743757247924805-0.19866520166397095j)
11,4.302777826786041,KU,KY,(0.9553050994873047-0.21299485862255096j),(0.9743757247924805-0.19866520166397095j)
12,4.318055544580732,KC,KT,(0.989338755607605+0.11764213442802429j),(0.9833017587661743+0.40985289216041565j)
13,4.318055544580732,KC,KU,(0.989338755607605+0.11764213442802429j),(0.9555855393409729+0.21238940954208374j)
14,4.318055544580732,KC,KY,(0.989338755607605+0.11764213442802429j),(0.9742470383644104-0.19835405051708221j)
15,4.318055544580732,KT,KU,(0.9833017587661743-0.40985289216041565j),(0.9555855393409729+0.21238940954208374j)
16,4.318055544580732,KT,KY,(0.9833017587661743-0.40985289216041565j),(0.9742470383644104-0.19835405051708221j)
17,4.318055544580732,KU,KY,(0.9555855393409729-0.21238940954208374j),(0.9742470383644104-0.19835405051708221j)
18,4.336111128330231,KC,KT,(0.9887394905090332+0.11863558739423752j),(0.9826241731643677+0.4117357134819031j)
19,4.336111128330231,KC,KU,(0.9887394905090332+0.11863558739423752j),(0.9562863111495972+0.21125909686088562j)
20,4.336111128330231,KC,KY,(0.9887394905090332+0.11863558739423752j),(0.9735879898071289-0.19775260984897614j)
21,4.336111128330231,KT,KU,(0.9826241731643677-0.4117357134819031j),(0.9562863111495972+0.21125909686088562j)
22,4.336111128330231,KT,KY,(0.9826241731643677-0.4117357134819031j),(0.9735879898071289-0.19775260984897614j)
23,4.336111128330231,KU,KY,(0.9562863111495972-0.21125909686088562j),(0.9735879898071289-0.19775260984897614j)
24,4.34980160849435,KC,KT,(0.9887394905090332+0.11863558739423752j),(0.9826241731643677+0.4117357134819031j)
25,4.34980160849435,KC,KU,(0.9887394905090332+0.11863558739423752j),(0.9562863111495972+0.21125909686088562j)
26,4.34980160849435,KC,KY,(0.9887394905090332+0.11863558739423752j),(0.9735879898071289-0.19775260984897614j)
27,4.34980160849435,KT,KU,(0.9826241731643677-0.4117357134819031j),(0.9562863111495972+0.21125909686088562j)
28,4.34980160849435,KT,KY,(0.9826241731643677-0.4117357134819031j),(0.9735879898071289-0.19775260984897614j)
29,4.34980160849435,KU,KY,(0.9562863111495972-0.21125909686088562j),(0.9735879898071289-0.19775260984897614j)
30,4.834722212382725,KC,KT,(0.9886195063591003+0.13694068789482117j),(0.9774150848388672+0.45124849677085876j)
31,4.834722212382725,KC,KU,(0.9886195063591003+0.13694068789482117j),(0.9595469832420349+0.18568812310695648j)
32,4.834722212382725,KC,KY,(0.9886195063591003+0.13694068789482117j),(0.9735301733016968-0.1876187026500702j)
33,4.834722212382725,KT,KU,(0.9774150848388672-0.45124849677085876j),(0.9595469832420349+0.18568812310695648j)
34,4.834722212382725,KT,KY,(0.9774150848388672-0.45124849677085876j),(0.9735301733016968-0.1876187026500702j)
35,4.834722212382725,KU,KY,(0.9595469832420349-0.18568812310695648j),(0.9735301733016968-0.1876187026500702j)
36,4.851388897214617,KC,KT,(0.9884025454521179+0.1379619687795639j),(0.9765618443489075+0.45323726534843445j)
37,4.851388897214617,KC,KU,(0.9884025454521179+0.1379619687795639j),(0.959891676902771+0.18435902893543243j)
38,4.851388897214617,KC,KY,(0.9884025454521179+0.1379619687795639j),(0.9733585119247437-0.1871594786643982j)
39,4.851388897214617,KT,KU,(0.9765618443489075-0.45323726534843445j),(0.959891676902771+0.18435902893543243j)
40,4.851388897214617,KT,KY,(0.9765618443489075-0.45323726534843445j),(0.9733585119247437-0.1871594786643982j)
41,4.851388897214617,KU,KY,(0.959891676902771-0.18435902893543243j),(0.9733585119247437-0.1871594786643982j)
42,4.868055530956814,KC,KT,(0.9884025454521179+0.1379619687795639j),(0.9765618443489075+0.45323726534843445j)
43,4.868055530956814,KC,KU,(0.9884025454521179+0.1379619687795639j),(0.959891676902771+0.18435902893543243j)
44,4.868055530956814,KC,KY,(0.9884025454521179+0.1379619687795639j),(0.9733585119247437-0.1871594786643982j)
45,4.868055530956814,KT,KU,(0.9765618443489075-0.45323726534843445j),(0.959891676902771+0.18435902893543243j)
46,4.868055530956814,KT,KY,(0.9765618443489075-0.45323726534843445j),(0.9733585119247437-0.1871594786643982j)
47,4.868055530956814,KU,KY,(0.959891676902771-0.18435902893543243j),(0.9733585119247437-0.1871594786643982j)
48,4.8847222668784,KC,KT,(0.9882100224494934+0.13914640247821808j),(0.975671112537384+0.4554935097694397j)
49,4.8847222668784,KC,KU,(0.9882100224494934+0.13914640247821808j),(0.9603685736656189+0.18253734707832336j)
50,4.8847222668784,KC,KY,(0.9882100224494934+0.13914640247821808j),(0.9729595184326172-0.18633711338043213j)
51,4.8847222668784,KT,KU,(0.975671112537384-0.4554935097694397j),(0.9603685736656189+0.18253734707832336j)
52,4.8847222668784,KT,KY,(0.975671112537384-0.4554935097694397j),(0.9729595184326172-0.18633711338043213j)
53,4.8847222668784,KU,KY,(0.9603685736656189-0.18253734707832336j),(0.9729595184326172-0.18633711338043213j)
54,4.899999976158142,KC,KT,(0.9882100224494934+0.13914640247821808j),(0.975671112537384+0.4554935097694397j)
55,4.899999976158142,KC,KU,(0.9882100224494934+0.13914640247821808j),(0.9603685736656189+0.18253734707832336j)
56,4.899999976158142,KC,KY,(0.9882100224494934+0.13914640247821808j),(0.9729595184326172-0.18633711338043213j)
57,4.899999976158142,KT,KU,(0.975671112537384-0.4554935097694397j),(0.9603685736656189+0.18253734707832336j)
58,4.899999976158142,KT,KY,(0.975671112537384-0.4554935097694397j),(0.9729595184326172-0.18633711338043213j)
59,4.899999976158142,KU,KY,(0.9603685736656189-0.18253734707832336j),(0.9729595184326172-0.18633711338043213j)
60,6.101524428623478,KC,KT,(0.9861640334129333+0.18052133917808533j),(0.9629273414611816+0.526583731174469j)
61,6.101524428623478,KC,KU,(0.9861640334129333+0.18052133917808533j),(0.9681001901626587+0.10531989485025406j)
62,6.101524428623478,KC,KY,(0.9861640334129333+0.18052133917808533j),(0.9772163033485413-0.15573249757289886j)
63,6.101524428623478,KT,KU,(0.9629273414611816-0.526583731174469j),(0.9681001901626587+0.10531989485025406j)
64,6.101524428623478,KT,KY,(0.9629273414611816-0.526583731174469j),(0.9772163033485413-0.15573249757289886j)
65,6.101524428623478,KU,KY,(0.9681001901626587-0.10531989485025406j),(0.9772163033485413-0.15573249757289886j)
66,6.117987766498473,KC,KT,(0.9861640334129333+0.18052133917808533j),(0.9629273414611816+0.526583731174469j)
67,6.117987766498473,KC,KU,(0.9861640334129333+0.18052133917808533j),(0.9681001901626587+0.10531989485025406j)
68,6.117987766498473,KC,KY,(0.9861640334129333+0.18052133917808533j),(0.9772163033485413-0.15573249757289886j)
69,6.117987766498473,KT,KU,(0.9629273414611816-0.526583731174469j),(0.9681001901626587+0.10531989485025406j)
70,6.117987766498473,KT,KY,(0.9629273414611816-0.526583731174469j),(0.9772163033485413-0.15573249757289886j)
71,6.117987766498473,KU,KY,(0.9681001901626587-0.10531989485025406j),(0.9772163033485413-0.15573249757289886j)
72,6.13611114025116,KC,KT,(0.9857588410377502+0.18094326555728912j),(0.9628199934959412+0.5262793302536011j)
73,6.13611114025116,KC,KU,(0.9857588410377502+0.18094326555728912j),(0.9685819745063782+0.10397778451442719j)
74,6.13611114025116,KC,KY,(0.9857588410377502+0.18094326555728912j),(0.9774482250213623-0.15510182082653046j)
75,6.13611114025116,KT,KU,(0.9628199934959412-0.5262793302536011j),(0.9685819745063782+0.10397778451442719j)
76,6.13611114025116,KT,KY,(0.9628199934959412-0.5262793302536011j),(0.9774482250213623-0.15510182082653046j)
77,6.13611114025116,KU,KY,(0.9685819745063782-0.10397778451442719j),(0.9774482250213623-0.15510182082653046j)
78,6.152777791023254,KC,KT,(0.9859485626220703+0.18188190460205078j),(0.9617670178413391+0.5278336405754089j)
79,6.152777791023254,KC,KU,(0.9859485626220703+0.18188190460205078j),(0.9686129093170166+0.101619191467762j)
80,6.152777791023254,KC,KY,(0.9859485626220703+0.18188190460205078j),(0.977925181388855-0.15427391231060028j)
81,6.152777791023254,KT,KU,(0.9617670178413391-0.5278336405754089j),(0.9686129093170166+0.101619191467762j)
