,time,frequency,ant1,ant2,gain_pol1_ant1,gain_pol1_ant2,gain_pol2_ant1,gain_pol2_ant2
0,1.385277271270752,21.755374908447266,KC,KT,(0.9966954588890076+0.016752827912569046j),(0.9843066334724426-0.02885596454143524j),,
1,1.385277271270752,21.755374908447266,KC,KU,(0.9966954588890076+0.016752827912569046j),(1.0020185708999634-0.0004919941420666873j),,
2,1.385277271270752,21.755374908447266,KC,KY,(0.9966954588890076+0.016752827912569046j),(1.0003966093063354+0.013308638706803322j),,
3,1.385277271270752,21.755374908447266,KT,KU,(0.9843066334724426-0.02885596454143524j),(1.0020185708999634-0.0004919941420666873j),,
4,1.385277271270752,21.755374908447266,KT,KY,(0.9843066334724426-0.02885596454143524j),(1.0003966093063354+0.013308638706803322j),,
5,1.385277271270752,21.755374908447266,KU,KY,(1.0020185708999634-0.0004919941420666873j),(1.0003966093063354+0.013308638706803322j),,
6,1.3880553245544434,21.755374908447266,KC,KT,(0.9968088269233704+0.0168100968003273j),(0.9839820265769958-0.028739456087350845j),,
7,1.3880553245544434,21.755374908447266,KC,KU,(0.9968088269233704+0.0168100968003273j),(1.0019348859786987-0.0004957328783348203j),,
8,1.3880553245544434,21.755374908447266,KC,KY,(0.9968088269233704+0.0168100968003273j),(1.0008935928344727+0.013247109949588776j),,
9,1.3880553245544434,21.755374908447266,KT,KU,(0.9839820265769958-0.028739456087350845j),(1.0019348859786987-0.0004957328783348203j),,
10,1.3880553245544434,21.755374908447266,KT,KY,(0.9839820265769958-0.028739456087350845j),(1.0008935928344727+0.013247109949588776j),,
11,1.3880553245544434,21.755374908447266,KU,KY,(1.0019348859786987-0.0004957328783348203j),(1.0008935928344727+0.013247109949588776j),,
12,1.3908333778381348,21.755374908447266,KC,KT,(0.9965969920158386+0.01669381372630596j),(0.9843751192092896-0.028895411640405655j),,
13,1.3908333778381348,21.755374908447266,KC,KU,(0.9965969920158386+0.01669381372630596j),(1.0021384954452515-0.0005215158453211188j),,
14,1.3908333778381348,21.755374908447266,KC,KY,(0.9965969920158386+0.01669381372630596j),(1.000331163406372+0.01330450177192688j),,
15,1.3908333778381348,21.755374908447266,KT,KU,(0.9843751192092896-0.028895411640405655j),(1.0021384954452515-0.0005215158453211188j),,
16,1.3908333778381348,21.755374908447266,KT,KY,(0.9843751192092896-0.028895411640405655j),(1.000331163406372+0.01330450177192688j),,
17,1.3908333778381348,21.755374908447266,KU,KY,(1.0021384954452515-0.0005215158453211188j),(1.000331163406372+0.01330450177192688j),,
18,1.3936114311218262,21.755374908447266,KC,KT,(0.9968761801719666+0.01675918884575367j),(0.9839360117912292-0.02879851497709751j),,
19,1.3936114311218262,21.755374908447266,KC,KU,(0.9968761801719666+0.01675918884575367j),(1.0018035173416138-0.0005392718012444675j),,
20,1.3936114311218262,21.755374908447266,KC,KY,(0.9968761801719666+0.01675918884575367j),(1.0006637573242188+0.01327434740960598j),,
21,1.3936114311218262,21.755374908447266,KT,KU,(0.9839360117912292-0.02879851497709751j),(1.0018035173416138-0.0005392718012444675j),,
22,1.3936114311218262,21.755374908447266,KT,KY,(0.9839360117912292-0.02879851497709751j),(1.0006637573242188+0.01327434740960598j),,
23,1.3936114311218262,21.755374908447266,KU,KY,(1.0018035173416138-0.0005392718012444675j),(1.0006637573242188+0.01327434740960598j),,
24,1.3963894844055176,21.755374908447266,KC,KT,(0.9970280528068542+0.01679016835987568j),(0.9840384721755981-0.028884289786219597j),,
25,1.3963894844055176,21.755374908447266,KC,KU,(0.9970280528068542+0.01679016835987568j),(1.0017120838165283-0.0005294823204167187j),,
26,1.3963894844055176,21.755374908447266,KC,KY,(0.9970280528068542+0.01679016835987568j),(1.000471591949463+0.013294917531311512j),,
27,1.3963894844055176,21.755374908447266,KT,KU,(0.9840384721755981-0.028884289786219597j),(1.0017120838165283-0.0005294823204167187j),,
28,1.3963894844055176,21.755374908447266,KT,KY,(0.9840384721755981-0.028884289786219597j),(1.000471591949463+0.013294917531311512j),,
29,1.3963894844055176,21.755374908447266,KU,KY,(1.0017120838165283-0.0005294823204167187j),(1.000471591949463+0.013294917531311512j),,
30,1.3991661071777344,21.755374908447266,KC,KT,(0.9968028664588928+0.01672423630952835j),(0.9840583801269531-0.028862381353974342j),,
31,1.3991661071777344,21.755374908447266,KC,KU,(0.9968028664588928+0.01672423630952835j),(1.0020363330841064-0.0005058565875515342j),,
32,1.3991661071777344,21.755374908447266,KC,KY,(0.9968028664588928+0.01672423630952835j),(1.0006581544876099+0.013242779299616814j),,
33,1.3991661071777344,21.755374908447266,KT,KU,(0.9840583801269531-0.028862381353974342j),(1.0020363330841064-0.0005058565875515342j),,
34,1.3991661071777344,21.755374908447266,KT,KY,(0.9840583801269531-0.028862381353974342j),(1.0006581544876099+0.013242779299616814j),,
35,1.3991661071777344,21.755374908447266,KU,KY,(1.0020363330841064-0.0005058565875515342j),(1.0006581544876099+0.013242779299616814j),,
36,1.4019441604614258,21.755374908447266,KC,KT,(0.9967529773712158+0.016692597419023514j),(0.9842376112937927-0.028971534222364426j),,
37,1.4019441604614258,21.755374908447266,KC,KU,(0.9967529773712158+0.016692597419023514j),(1.0022673606872559-0.0004824212228413671j),,
38,1.4019441604614258,21.755374908447266,KC,KY,(0.9967529773712158+0.016692597419023514j),(1.0006920099258423+0.013156404718756676j),,
39,1.4019441604614258,21.755374908447266,KT,KU,(0.9842376112937927-0.028971534222364426j),(1.0022673606872559-0.0004824212228413671j),,
40,1.4019441604614258,21.755374908447266,KT,KY,(0.9842376112937927-0.028971534222364426j),(1.0006920099258423+0.013156404718756676j),,
41,1.4019441604614258,21.755374908447266,KU,KY,(1.0022673606872559-0.0004824212228413671j),(1.0006920099258423+0.013156404718756676j),,
42,1.4047222137451172,21.755374908447266,KC,KT,(0.9969276785850525+0.016680322587490082j),(0.9840657114982605-0.028923779726028442j),,
43,1.4047222137451172,21.755374908447266,KC,KU,(0.9969276785850525+0.016680322587490082j),(1.0020453929901123-0.00047110478044487536j),,
44,1.4047222137451172,21.755374908447266,KC,KY,(0.9969276785850525+0.016680322587490082j),(1.0004583597183228+0.01324626337736845j),,
45,1.4047222137451172,21.755374908447266,KT,KU,(0.9840657114982605-0.028923779726028442j),(1.0020453929901123-0.00047110478044487536j),,
46,1.4047222137451172,21.755374908447266,KT,KY,(0.9840657114982605-0.028923779726028442j),(1.0004583597183228+0.01324626337736845j),,
47,1.4047222137451172,21.755374908447266,KU,KY,(1.0020453929901123-0.00047110478044487536j),(1.0004583597183228+0.01324626337736845j),,
48,1.4075002670288086,21.755374908447266,KC,KT,(0.9970329403877258+0.01672999933362007j),(0.9838940501213074-0.02879209816455841j),,
49,1.4075002670288086,21.755374908447266,KC,KU,(0.9970329403877258+0.01672999933362007j),(1.0016272068023682-0.0005632068496197462j),,
50,1.4075002670288086,21.755374908447266,KC,KY,(0.9970329403877258+0.01672999933362007j),(1.0007381439208984+0.013156386092305183j),,
